,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
8637,Information / Robbery,1160 E. 54th St.,42713.93819,42713.92708,An unknown suspect took an iPhone and wallet from a victim walking on the sidewalk off-campus before entering a white van that sped off in an unknown direction / CPD case HZ546363,CPD,16-01107,22,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
8638,Information / Robbery,Greenwood between 54th & 55th,42713.93819,42713.93056,An unknown suspect took a wallet from a victim walking on the sidewalk off-campus before entering a white van that sped off in an unknown direction / CPD case,CPD,16-01108,22,6,12,2016,336,6,77,6-336,12-77,9,12/9/2016
8640,Weapons Violation,5200 S. Dorchester,42714.82431,42714.82431,UCPD officer stopped a vehicle for a traffic violation and discovered a handgun and marijuana in the vehicle / Subsequent investigation revealed property taken from recent robbery victims / Four suspects in the vehicle were placed under arrest and turned over to CPD for further investigation,Arrest / CPD,16-01109,19,7,12,2016,336,6,77,7-336,12-77,10,12/10/2016
8643,Battery,5700 S. Maryland (CCD),42715.30764,42715.30208,Staff member was scratched by a disturbed patient / Declined prosecution,Ex. Cleared,16-01111,7,1,12,2016,336,6,77,1-336,12-77,11,12/11/2016
8642,Theft,5700 S. Maryland (CCD),42715.31806,12/10/16 6:40 PM to 7:00 PM,"Unattended, unsecured wallet left in 7th floor lobby was taken / Wallet later recovered minus $380 in cash",Open,16-01110,7,1,12,2016,336,6,77,1-336,12-77,11,12/11/2016
8645,Injured Person,901 E. 58th St.,42716.62153,42716.62153,"Staff member slipped on ice, falling causing injury to left knee, hand, wrist, and chest / Treated and released at ER",Closed,16-01112,14,2,12,2016,336,6,77,2-336,12-77,12,12/12/2016
8647,Found Property,1144 E. 59th St. (Winter Garden),42717.3375,42717.3375,Individual found wallet in Winter Garden and turned it over to UCPD for safekeeping,Closed,16-01113,8,3,12,2016,336,6,77,3-336,12-77,13,12/13/2016
8648,Information,5840 S. Kenwood (Lab School),42717.41389,42714.61458,Staff member reported suspicious text message,Closed,16-01114,9,3,12,2016,336,6,77,3-336,12-77,13,12/13/2016
8649,Theft,5225 S. Cottage Grove (UC Warehouse),42717.54792,12/13/16 10:30 AM to 11:40 AM,Packages containing a MacBook computer and an Apple protection plan taken from open and unsecured warehouse floor,Open,16-01115,13,3,12,2016,336,6,77,3-336,12-77,13,12/13/2016
8650,Information / Armed Robbery,Lake Park between 54th & 55th,42717.73125,42717.72222,"Two unknown suspects, one armed with a handgun, took cash from cashier in off-campus retail establishment / No injuries reported / CPD case HZ550542",CPD,16-01116,17,3,12,2016,336,6,77,3-336,12-77,13,12/13/2016
8652,Theft,5815 S. Maryland (Mitchell Hospital),42718.625,12/10/16 6:00 AM to 4:30 PM,"Unsecured, unattended iPad taken from patient's belongings",Open,16-01117,15,4,12,2016,336,6,77,4-336,12-77,14,12/14/2016
8653,Found Property,5700 S. Maryland (CCD),42718.9125,42718.89306,Staff member found plastic baggie containing a pill in hospital room / Turned over to UCPD for proper disposal,Closed,16-01118,21,4,12,2016,336,6,77,4-336,12-77,14,12/14/2016
8657,Theft,901 E. 58th St. (Mitchell ER),42720.08472,12/16/16 12:00 AM to 12:30 AM,Individual left cell phone in washroom / Unknown person took phone and later called victim offering to return phone for cash,Open,16-01119,2,6,12,2016,337,6,77,6-337,12-77,16,12/16/2016
8661,Information / Deceptive Practice,Woodlawn between 54th & 55th,42722.44236,12/17/16 7:10 PM to 9:40 PM,Individual was notified an unauthorized individual used victim's credit card information to make purchases of merchandise / Victim is in possession of the card / CPD case,CPD,16-01120,10,1,12,2016,337,6,77,1-337,12-77,18,12/18/2016
8664,Burglary,950 E. 58th St. (Billings Hospital),42723.58958,12/19/16 1:30 PM to 1:45 PM,Suspect entered four offices and took six laptop computers and a cash box before fleeing the building / Suspect located and arrested by UCPD officers after a brief chase on foot / All property recovered / Charged with four counts of burglary,Arrest,16-01122,14,2,12,2016,337,6,77,2-337,12-77,19,12/19/2016
8665,Stalking,970 E. 58th St. (Bookstore),42723.60069,42723.57639,Victim reports an individual has been stalking her,Open,16-01123,14,2,12,2016,337,6,77,2-337,12-77,19,12/19/2016
8666,Information / Armed Robbery,1502 E. 55th St. (Toy Store),42723.79514,42723.78819,"Two suspects, one armed with a handgun, demanded and took cash from the cashier in an off-campus retail establishment / No physical injuries reported / CPD case HZ557721",CPD,16-01124,19,2,12,2016,337,6,77,2-337,12-77,19,12/19/2016
8663,Lost Property,5235 S. Harper (Alumni Relations & Development),42723.9125,11/21/16 to 12/9/16 1:30 PM to 11:00 AM,5 MacBook computers missing from a shipment received on 11/21/16,Open,16-01121,21,2,12,2016,337,6,77,2-337,12-77,19,12/19/2016
8668,Injured Person,5811 S. Ellis (Cobb Hall),42724.36806,42724.20694,Staff member tripped on stairs leading to maintenance room causing back pain and abrasion to right knee / Transported to ER by CFD EMS,Closed,16-01125,8,3,12,2016,337,6,77,3-337,12-77,20,12/20/2016
8669,Found Property,6054 S. Drexel (UCPD),42724.39306,42724.39306,Wallet found on bus received this date / Inventoried by UCPD for safe-keeping,Closed,16-01126,9,3,12,2016,337,6,77,3-337,12-77,20,12/20/2016
8670,Theft from Motor Vehicle,5750 S. Woodlawn (Public Way),42724.54444,12/20/16 12:55 PM to 1:00 PM,"Unknown person entered unattended, unsecured DHL delivery vehicle and took a bag of the driver's personal property",Open,16-01127,13,3,12,2016,337,6,77,3-337,12-77,20,12/20/2016
8671,Financial Identity Theft,5525 S. Ellis (Maroon Financial),42724.60694,12/19/16 to 12/20/16 3:00 PM to 2:00 PM,Fraudulent activity detected in member's account,Open,16-01128,14,3,12,2016,337,6,77,3-337,12-77,20,12/20/2016
8672,Traffic Crash,5422 S. Ellis,42724.65,42724.64583,Car and First Transit Bus travelling in opposite directions sideswiped / No injuries reported / 2016-MVA00205,Closed,16-01129,15,3,12,2016,337,6,77,3-337,12-77,20,12/20/2016
8674,Information / Armed Robbery,56th St. between University & Woodlawn,42725.27917,42725.27778,"Victim walking on the sidewalk off-campus was approached by 3 suspects, one armed with a handgun / Suspects took victim's wallet and fled in a gray SUV / Suspects were arrested by CPD after committing another robbery outside UCPD area / Victim's property recovered / Victim positively identified suspects / CPD case",CPD / Arrest,16-01130,6,4,12,2016,337,6,77,4-337,12-77,21,12/21/2016
8675,Weapon Turn-in,5815 S. Maryland (Mitchell Hospital),42725.48264,42725.47917,Staff member found one live round of ammunition in patient's room / Turned over to UCPD for proper disposal,Closed,16-01131,11,4,12,2016,337,6,77,4-337,12-77,21,12/21/2016
8677,Non-Criminal Damage to Property,1355 E. 53rd St.,42726.67292,42726.63542,Department issued cell phone accidently damaged,Closed,16-01132,16,5,12,2016,338,6,77,5-338,12-77,22,12/22/2016
8678,Information / Aggravated Robbery,5457 S. Ingleside (Alley),42726.78333,42726.78125,"Two unknown suspects took a cell phone and wallet from victim walking in the alley / Suspect implied a weapon, but no weapon was displayed / Victim reported no physical injuries / CPD case HZ561994",CPD,16-01133,18,5,12,2016,338,6,77,5-338,12-77,22,12/22/2016
8688,Burglary,950 E. 59th St. (Billings Hospital),42731.42014,12/26/16 to 12/27/16 9:00 PM to 9:20 AM,Unknown person(s) broke glass in door to gain entry to room 5315 / Took 2 laptop computers,Open,16-01134,10,3,12,2016,338,6,77,3-338,12-77,27,12/27/2016
8689,Harassment by Electronic Means,1100 E. 57th St. (Regenstein Library),42731.74722,12/24/16 to 12/27/16 12:00 PM to 4:10 PM,"Victim received unsolicited, harassing text messages",Open,16-01135,17,3,12,2016,338,6,77,3-338,12-77,27,12/27/2016
8690,Information / Aggravated Robbery,Hyde Park between 55th & 56th,42731.90486,42731.89583,Two unknown suspects followed victim into the hallway of an off-campus private apartment building / One suspect implied a weapon - none seen - and took victim's cellphone and wallet before fleeing in a waiting vehicle northbound on Hyde Park / Victim reported no injuries / CPD case HZ567213,CPD,16-01136,21,3,12,2016,338,6,77,3-338,12-77,27,12/27/2016
8691,Information / Armed Robbery,6349 S. Cottage Grove (Dollar Store),42731.91111,42731.90972,"Two unknown suspects wearing bandanas covering their faces, one armed with a handgun, demanded and took cash from the cash register in an off- campus retail store before fleeing out the rear door into the alley / No injuries reported / CPD case HZ567229",CPD,16-01137,21,3,12,2016,338,6,77,3-338,12-77,27,12/27/2016
8693,Injured Person,1101 E. 58th St. (Rosenwald),42732.37431,42732.37153,Individual fell while walking down exterior front stairs of the building striking right knee on the ground / Declined medical attention,Closed,16-01138,8,4,12,2016,338,6,77,4-338,12-77,28,12/28/2016
8695,Information / Aggravated Battery,817 E. 63rd St.,42733.38056,42733.37847,Individual suffered a gunshot wound to the back off-campus / Transported to Hospital by CFD EMS / CPD case HZ568649,CPD,16-01139,9,5,12,2016,339,6,77,5-339,12-77,29,12/29/2016
8696,Expired License / Narcotics,947 E. 58th St. (Abbott Hall),42733.57431,42733.5625,Research group failed to renew license to possess narcotics / Narcotics turned over to UCPD for proper disposal,Closed,16-01140,13,5,12,2016,339,6,77,5-339,12-77,29,12/29/2016
8697,Criminal Damage to Vehicle,821 E. 55th St.,42733.97361,12/29/16 6:00 AM to 10:45 PM,Driver's side window of vehicle parked on the street was shattered,Open,16-01141,23,5,12,2016,339,6,77,5-339,12-77,29,12/29/2016
8699,Lost Property,5730 S. Ellis to 5900 S. Ellis,42734.33194,12/28/16 3:00 PM to 3:30 PM,Individual reports losing credit card and ID cards,Closed,16-01142,7,6,12,2016,339,6,77,6-339,12-77,30,12/30/2016
8700,Criminal Trespass to Property,5721 S. Maryland (Comer Hospital),42734.58681,42734.58681,Individual refused to leave the hospital after being banned from the premises was arrested for trespass and assault,Arrest,16-01143,14,6,12,2016,339,6,77,6-339,12-77,30,12/30/2016
8701,Information,901q E. 58th St. (Mitchell ER),42734.75069,42734.75069,Person reported missing to Chicago police was located in the hospital emergency room / CPD case HZ570187,CPD,16-01144,18,6,12,2016,339,6,77,6-339,12-77,30,12/30/2016
8703,Lost Property,1000 E. 61st St. (CTA),42735.66597,42735.625,Individual reports losing wallet while riding the CTA,Closed,16-01145,15,7,12,2016,339,6,77,7-339,12-77,31,12/31/2016
8704,Information / Theft,6345 S. Greenwood,42735.85833,42735.85069,Individual made arrangements online to sell gym shoes to unknown person / Victim met with 2 unknown suspects on the street off-campus / Suspects took gym shoes and ran off / CPD report HZ571705,CPD,16-01146,20,7,12,2016,339,6,77,7-339,12-77,31,12/31/2016
8706,Warrant Arrest,6019 S. Ingleside,42736.79653,42736.79653,UCPD arrested an individual wanted on a warrant issued by Cook County Sheriff's Police,Arrest,17-00001,19,1,1,2017,339,7,78,1-339,1-78,1,1/1/2017
8707,Information,5840 S. Maryland (Parking Structure),42736.81736,42736.81736,Unauthorized individual loitering in parking structure was given a trespass warning and escorted off of the property,Closed,17-00002,19,1,1,2017,339,7,78,1-339,1-78,1,1/1/2017
8709,Information / Armed Robbery,1407 E. 62nd Pl.,42737.49583,42737.48611,"Unknown suspect, armed with a handgun, took wallet from a victim sitting in a parked car / Victim reported no injuries / CPD case",CPD,17-00003,11,2,1,2017,339,7,78,2-339,1-78,2,1/2/2017
8710,Theft,5721 S. Maryland (Comer Hospital),42737.64653,42737.64583,Boyfriend took victim's iPhone and fled / Phone later returned via a mutual friend / Victim declined prosecution,Ex. Cleared,17-00004,15,2,1,2017,339,7,78,2-339,1-78,2,1/2/2017
8711,Lost Property,58th & Ellis to 60th & Ellis,42737.69097,1/2/17 2:00 PM to 2:30 PM,Individual reports losing wallet from pocket,Closed,17-00005,16,2,1,2017,339,7,78,2-339,1-78,2,1/2/2017
8714,Mental Health Transport,1526 E. 55th St. (Treasure Island),42738.31875,42738.31875,Individual transported to hospital for evaluation and treatment,Closed,17-00007,7,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8713,Found Property,900 E. Midway Pl.,42738.32222,42738.3125,Individual found a loaded clip of ammunition on the ground / Turned over to UCPD for proper disposal,Closed,17-00006,7,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8715,Mental Health Transport,1155 E. 60th St. (Harris School),42738.35069,42738.34722,Individual transported to hospital for evaluation and treatment,Closed,17-00008,8,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8716,Theft,5700 S. Maryland (CCD),42738.36319,1/2/17 6:00 AM to 2:25 PM,"Unsecured, unattended gym shoes taken from women's locker room 0-485",Open,17-00009,8,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8718,Information / Sexual Assault,850 E. 61st St.,42738.5625,Unknown,"UCPD notified by Riverwoods, IL police department of a sexual assault allegation in a UC Medicine building / Location, date and time of incident unknown at this time / Chicago police notified",Referred Riverwoods PD / CPD,17-00011,13,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8717,Domestic Battery,5815 S. Maryland (Mitchell Hospital),42738.61736,42738.55556,Boyfriend struck girlfriend with his fists and choked her / Arrested by UCPD,Arrest,17-00010,14,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8719,Damage to Property,850 E. 61st St.,42738.80972,42738.75,Key broke off in lock cylinder of south lobby door,Closed,17-00012,19,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8720,Domestic Battery,5721 S. Maryland (Comer Hospital),42738.92361,42738.91319,Boyfriend choked girlfriend during the course of a domestic argument / Suspect fled before police arrived. / Victim refused to prosecute suspect /,Ex. Cleared,17-00013,22,3,1,2017,339,7,78,3-339,1-78,3,1/3/2017
8722,Injured Person,850 E. 61st St. (UCPD HQ),42739.42569,42726.375,Staff member fell from chair injuring his back,Closed,17-00014,10,4,1,2017,339,7,78,4-339,1-78,4,1/4/2017
8723,Lost Property,5700 S. Maryland (CCD),42739.59236,1/3/2017 7:30 PM to 8:30 PM,Patient lost cell phone / Believes phone may have been lost in bed sheets,Closed,17-00015,14,4,1,2017,339,7,78,4-339,1-78,4,1/4/2017
8725,Liquor Law Violation,5500 S. University (Campus North RH),42740.04097,42740.04097,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00016,0,5,1,2017,340,7,78,5-340,1-78,5,1/5/2017
8726,Found Property,5801 S. Ellis (Levi Hall),42740.52847,42740.34375,Staff member found a spent projectile in the breezeway of the building / Turned over to UCPD for proper disposal,Closed,17-00017,12,5,1,2017,340,7,78,5-340,1-78,5,1/5/2017
8727,Information,850 E. 61st St.,42740.63472,42740.57292,UCPD informed of threats posted on a social media site / CPD investigation,CPD,17-00018,15,5,1,2017,340,7,78,5-340,1-78,5,1/5/2017
8728,Information / Homicide,841 E. 46th St.,42740.97014,42740.96875,"A victim, not affiliated with the University, suffered fatal gunshot wounds while sitting in a parked vehicle off-campus / An unknown suspect fired multiple gunshots into the vehicle before fleeing westbound on 46th St. on foot / CPD is investigating what appears to be a targeted shooting / CPD case JA105744",CPD,17-00019,23,5,1,2017,340,7,78,5-340,1-78,5,1/5/2017
8730,Traffic Crash,901 E. 58th St.,42741.34028,42741.34028,Parked UC owned vehicle struck by another vehicle backing into a parking space on the street / Property damage only / No injuries reported / 2017-MVA00003,Closed,17-00020,8,6,1,2017,340,7,78,6-340,1-78,6,1/6/2017
8731,Theft,5700 S. Maryland (CCD),42741.44306,1/6/2017 8:45 AM to 10:00 AM,Cell phone left unattended in washroom was taken by an unknown person,Open,17-00021,10,6,1,2017,340,7,78,6-340,1-78,6,1/6/2017
8732,Disturbance,5730 S. Drexel (Comer ER),42741.8375,42741.8375,Two individuals involved in a loud disturbance / Peace restored,Closed,17-00022,20,6,1,2017,340,7,78,6-340,1-78,6,1/6/2017
