,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
2089,5/13/2018 10:22 AM,1450 E 55th,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
2090,5/13/2018 6:55 PM,6000 Kenwood,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2091,5/13/2018 8:25 PM,5500 Blackstone,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2092,5/13/2018 8:43 PM,5100 Blackstone,African American,Female,Lane Violation,Illegal U-Turn,,Verbal Warning,No
2093,5/13/2018 10:09 PM,5600 Lake Park,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2094,5/13/2018 10:46 PM,5300 Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2095,5/14/2018 2:56 PM,6300 S Evans,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2096,5/14/2018 7:41 PM,4900 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No
2097,5/14/2018 10:19 PM,5735 S Cornell,African American,Male,Lane Violation,Improper lane usage,Three citations issued,Citation issued,Yes
2098,5/15/2018 7:38 AM,1658 E 55th,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2099,5/15/2018 9:43 AM,5900 S Woodlawn,African American,Female,Equipment,Unsafe equipment,,Verbal Warning,No
2100,5/15/2018 10:41 AM,1380 E Midway,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2101,5/15/2018 4:43 PM,6200 S Kimbark,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
2102,5/16/2018 7:22 AM,5000 Drexel,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2103,5/16/2018 10:02 AM,1607 E 55th,African American,Female,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
2104,5/16/2018 1:26 PM,5300 Woodlawn,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2105,5/16/2018 2:37 PM,6300 Cottage Grove,African American,Male,Moving Violation - Other,Reckless driving,,Verbal Warning,No
2106,5/16/2018 8:48 PM,5300 Ellis,African American,Female,Equipment,Unsafe equipment,,Verbal Warning,No
2107,5/16/2018 9:18 PM,5300 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2108,5/16/2018 9:41 PM,5600 S University,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2109,5/16/2018 9:43 PM,5300 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2110,5/16/2018 9:50 PM,5444 S Drexel,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2111,5/16/2018 10:19 PM,5100 S Kenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citation issued,No
2112,5/16/2018 10:33 PM,5600 S Lake Park,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2113,5/17/2018 7:53 AM,6000 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2114,5/17/2018 1:02 PM,4900 S Drexel,Hispanic,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2115,5/17/2018 9:11 PM,Midway Plaisance and University,Caucasian,Female,Equipment,Unsafe equipment,,Verbal Warning,No
2116,5/17/2018 9:27 PM,5700 S Blackstone,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2117,5/17/2018 9:31 PM,5300 S Ingleside,Caucasian,Female,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2118,5/17/2018 9:42 PM,5300 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2119,5/17/2018 11:34 PM,1520 E 57th,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2120,5/18/2018 7:56 AM,5602 S Blackstone,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2121,5/18/2018 12:34 PM,5200 S Kimbark,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2122,5/18/2018 2:21 PM,1380 E 53rd,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2123,5/19/2018 4:22 AM,5700 S Woodlawn,Hispanic,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2124,5/19/2018 9:53 AM,6000 S Ellis,Hispanic,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2125,5/19/2018 7:50 PM,5500 S Lake Park,African American,Male,Traffic sign/signal,Ran stop sign,,Verbal Warning,No
2126,5/20/2018 2:00 AM,5500 S Ellis,Hispanic,Male,Lane Violation,Improper overtaking,,Verbal Warning,No
2127,5/20/2018 3:42 PM,6300 S Woodlawn,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2128,5/21/2018 3:02 PM,5100 S. Woodlawn Ave.,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2129,5/21/2018 9:19 PM,5100 Greenwood,Caucasian,Female,Equipment,Unsafe equipment,,Verbal Warning,No
2130,5/21/2018 10:58 PM,5500 S. Kenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2131,5/22/2018 2:31 AM,5900 S. Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2132,5/22/2018 11:58 AM,1438 E. 55th Street,African American,Male,Traffic Sign/Signal,Ran red light,One citation issued,Citation Issued,No
2133,5/22/2018 7:24 PM,5300 S. Greenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2134,5/22/2018 8:40 PM,5500 S. Everett,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2135,5/22/2018 9:10 PM,5000 S. Kenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2136,5/22/2018 9:15 PM,5700 S. Kimbark,African American,Male,Lane Violation,Improper turn,,Verbal Warning,No
2137,5/22/2018 9:37 PM,5300 S. Greenwood,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2138,5/22/2018 9:52 PM,6100 S. Woodlawn,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2139,5/22/2018 10:44 PM,5500 S. Harper,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2140,5/23/2018 3:46 PM,5500 S Shore Drive,African American,Female,Traffic sign/signal,Ran red light,,Verbal Warning,No
2141,5/23/2018 7:59 PM,5600 S. Hyde Park Blvd.,African American,Female,Traffic Sign/Signal,Moving Violation,,Verbal Warning,No
2142,5/23/2018 8:43 AM,5478 S. Greenwood,Caucasian,Male,Lane Violation,Improper Lane Usage,,Verbal Warning,No
2143,5/24/2018 10:06 AM,5700 S. Harper,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
2144,5/24/2018 11:56 AM,1330 E. Midway Plaisance,African American,Male,Speed,Speeding,Three citations issued,Citation Issued,No
2145,5/25/2018 1:10 AM,5400 S. Shore Drive,African American,Female,Moving Violation  Other,Driving On Sidewalk,Two citations issued,Citation Issued,No
2146,5/25/2018 5:18 PM,5500 Kimbark,African American,Male,Lane Violation,Illegal Passing,,Verbal Warning,No
2147,5/25/2018 8:02 PM,5400 S. GREENWOOD,Hispanic,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2148,5/25/2018 8:39 PM,5100 S. Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2149,5/25/2018 9:00 PM,4900 S. East End,African American,Male,Equipment,Unsafe equipment,,Verbal Warning,No
2150,5/25/2018 9:43 PM,5500 South Shore Dr,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2151,5/26/2018 1:55 AM,5300 S. Ellis Ave.,African American,Male,Traffic Sign/Signal,Ran stop sign,Four citations issued,Citation Issued,Yes
2152,5/26/2018 12:25 PM,1313 E. 55th Street,Caucasian,Female,Traffic sign/signal,Failed to Yield to a Pedestrian in Crosswalk,,Verbal Warning,No
2153,5/26/2018 1:55 PM,Midway Plaisance and Woodlawn,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2154,5/26/2018 4:08 PM,5200 S. Lake Park Ave,African American,Male,Lane Violation,Improper Left hand Turn,,Verbal Warning,No
2155,5/26/2018 5:12 PM,5240 S. Greenwood Ave,African American,Female,Lane Violation,Driving wrong way one way street,,Verbal Warning,No
2156,5/26/2018 7:50 PM,5300 S. Berkeley,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2157,5/26/2018 9:10 PM,5300 S. Greenwood,African American,Female,Equipment,Unsafe equipment,,Verbal Warning,No
2158,5/26/2018 9:20 PM,5715 S. Dorchester,Asian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2159,5/27/2018 10:19 AM,5900 S. Ellis Ave,African American,Male,Speed,Speeding,,Verbal Warning,No
2160,5/27/2018 3:41 PM,5305 S. Hyde Park Ave,African American,Female,Traffic Sign/Signal,Ran red light,Three citations issued,Citation Issued,No
2161,5/27/2018 8:23 PM,5200 S. Berkeley,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2162,5/27/2018 9:12 PM,5500 S. Everett,African American,Male,Lane Violation,Failure to signal,,Verbal Warning,Yes
2163,5/27/2018 9:59 PM,5300 S. Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2164,5/27/2018 11:09 PM,5800 S. Dorchester,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2165,5/28/2018 1:01 AM,5700 S. Harper,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2166,5/28/2018 11:07 AM,5600 S. Shore Dr.,Hispanic,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2167,5/28/2018 12:46 PM,6200 S. Kimbark Ave.,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2168,5/28/2018 4:48 PM,5800 S. Kenwood Ave.,Asian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2169,5/28/2018 6:21 PM,4900 Cottage Grove,African American,Male,Lane Violation,Improper overtaking,,Verbal Warning,No
2170,5/28/2018 8:51 PM,5100 University,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2171,5/28/2018 9:02 PM,5100 University,African American,Female,Equipment,No headlights when required,,Verbal Warning,No
2172,5/28/2018 10:07 PM,51ST Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2173,5/29/2018 12:51 PM,5500 S. Greenwood,African American,Male,Traffic Sign/Signal,Disobeying Traffic Control Signal,,Verbal Warning,No
2174,5/29/2018 1:47 PM,5500 S. Woodlawn,African American,Female,Traffic Sign/Signal,Failure to Yield to Pedestrian in Crosswalk,,Verbal Warning,No
2175,5/29/2018 4:11 PM,6200 S. Cottage Grove,African American,Female,Moving Violation  Other,Failure to Yield to Authorized Emergency Vehicle,,Verbal Warning,Yes
2176,5/29/2018 7:06 PM,5700 S. Ellis,Asian,Male,Lane Violation,Moving Violation,,Verbal Warning,No
2177,5/29/2018 10:41 PM,5511 S. University,African American,Male,Traffic Sign/Signal,Moving Violation,,Verbal Warning,No
2178,5/29/2018 11:19 PM,5200 S. University,African American,Female,Traffic Sign/Signal,Moving Violation,,Verbal Warning,No
2179,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018,No traffic stops for 05/30/2018
2180,5/31/2018 10:56 AM,1419 E 51st,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2181,5/31/2018 2:20 PM,5900 S. Maryland,African American,Female,Lane Violation,Lane Violation,,Verbal Warning,No
2182,5/31/2018 2:43 PM,5100 S. University,African American,Male,Equipment,Cracked Windshield,,Verbal Warning,No
2183,5/31/2018 2:44 PM,5100 S. Hyde Park Blvd,African American,Female,Moving Violation  Other,Passengers on the hood of the vehicle,,Verbal Warning,No
2184,5/31/2018 8:42 PM,1130 E. Midway Plaisance,African American,Male,Moving Violation  Other,Using cell phone while driving,Two citations issued,Citation Issued,Yes
2185,6/1/2018 6:39 PM,6100 S. Ingleside,Hispanic,Male,Equipment,Inoperable Brake Lights,,Verbal Warning,No
2186,6/1/2018 7:13 PM,1365 E. 55th Street,African American,Female,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2187,6/1/2018 8:24 PM,5100 S. Lake Park,Caucasian,Male,Lane Violation,Improper Turn,,Verbal Warning,No
2188,6/1/2018 10:28 PM,5325 S. Woodlawn,Caucasian,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2189,6/1/2018 11:39 PM,5500 S. Harper,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2190,6/2/2018 1:41 AM,5500 S. Cornell,African American,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2191,6/2/2018 11:46 AM,5500 S. Dorchester,African American,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2192,6/3/2018 9:43 AM,1000 E. Midway Plaisance,African American,Male,Traffic Sign/Signal,Disobeying Traffic Control Device,One citation issued,Citation Issued,No
2193,6/3/2018 12:20 PM,5700 S. Harper,Caucasian,Female,Lane Violation,Improper Lane Usage,,Verbal Warning,No
2194,6/4/2018 8:46 AM,5900 S. Woodlawn,Hispanic,Female,Equipment,No Brake Lights,,Verbal Warning,No
2195,6/4/2018 12:51 PM,5500 S. University,African American,Male,Traffic Sign/Signal,Disobeyed Traffic control,,Verbal Warning,No
2196,6/4/2018 2:30 PM,5100 S. University,Caucasian,Male,Moving Violation  Other,Asleep at the wheel,,Verbal Warning,No
2197,6/4/2018 4:03 PM,1123 E. 55th St.,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2198,6/4/2018 9:38 PM,6100 S. Dorchester,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
2199,6/4/2018 10:24 PM,6100 S. Kimbark,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,Yes
2200,6/4/2018 11:56 PM,W/B Midway at Stony Island,Hispanic,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2201,6/4/2018 12:15 AM,5000 S. Kenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2202,6/4/2018 12:41 AM,6300 S. Drexel,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2203,6/5/2018 2:41 AM,6130 S. Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2204,6/5/2018 11:07 AM,6300 University,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2205,6/6/2018 4:52 PM,5600 S Hyde Park,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2206,6/6/2018 6:23 PM,6025 S. Ellis,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
2207,6/7/2018 9:35 AM,1400 E. Midway Plaisance,Caucasian,Male,Traffic sign/signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
2208,6/7/2018 11:55 AM,6200 S. Cottage Grove,African American,Female,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,No
2209,6/7/2018 12:44 PM,1000 E. Ellis,Hispanic,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
2210,6/8/2018 11:44 AM,5200 University,African American,Male,Traffic Sign/Signal,Failed to stop at sign,,Verbal Warning,No
2211,6/8/2018 3:37 PM,1155 E 61st,African American,Male,Traffic Sign/Signal,Failed to stop at red light,,Verbal Warning,No
2212,6/8/2018 8:45 PM,5100 S. Drexel,Asian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2213,6/8/2018 9:21 PM,4850 S. Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2214,6/8/2018 10:09 PM,5300 S. Cottage Grove,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2215,6/8/2018 11:24 PM,1359 E. Hyde Park Blvd,African American,Female,Lane Violation,Improper turn,,Verbal Warning,No
2216,6/9/2018 12:37 AM,5500 S. Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2217,6/8/2018 1:15 AM,5830 S. Woodlawn,African American,Male,Equipment,Unsafe equipment,,Verbal Warning,No
2218,6/8/2018 1:32 AM,1216 E. 51st St.,African American,Male,Traffic Sign/Signal,Ran red light,Three citations issued,Citation Issued,No
2219,6/9/2018 10:42 AM,5500 S University,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
2220,6/9/2018 8:21 AM,Hyde Park Blvd/Dorchester,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2221,6/9/2018 11:16 PM,5500 S. Hyde Park Blvd,African American,Male,License Plate/Registration,No license plates,,Verbal Warning,No
2222,6/10/2018 9:46 AM,5118 S Lake Park,African American,Female,Traffic Sign/Signal,Ran red light,One citation issued,Citation Issued,No
2223,6/10/2018 11:14 AM,5200 S Lake Park,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2224,6/10/2018 5:49 PM,5200 S. Harper,Hispanic,Male,Lane Violation,Wrong way on one way road,Four citations issued,Citation Issued,No
2225,6/10/2018 6:50 PM,5100 S. Greenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2226,6/10/2018 8:33 PM,5500 S. Kenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2227,6/10/2018 9:02 PM,5500 S. Kenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2228,6/10/2018 9:21 PM,6200 S. Park Shore East,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
2229,6/10/2018 10:47 PM,5700 S. Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2230,6/11/2018 12:34 AM,5300 S. Greenwood,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
2231,6/11/2018 9:58 AM,6300 S. Dorchester,African American,Male,Traffic Sign/Signal,Disobeying Traffic Control Signal,,Verbal Warning,No
2232,6/11/2018 10:21 AM,1348 E. 51st Street,African American,Female,Traffic Sign/Signal,Disobeying Traffic Control Signal,,Verbal Warning,No
2233,6/11/2018 5:18 PM,5500 S. Dorchester,Caucasian,Female,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
2234,6/11/2018 9:02 PM,5110 S. University,Hispanic,Male,Lane Violation,Improper lane usage,One citation issued,Citation Issued,No
2235,6/12/2018 9:13 AM,1216 E. 48th Street,African American,Female,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
2236,6/12/2018 10:19 AM,6330 S. Cottage Grove,African American,Male,Lane Violation,Improper Lane Usage,,Verbal Warning,No
2237,6/12/2018 9:22 PM,945 E. 52nd St.,Caucasian,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
2238,6/13/2018 2:50 PM,4900 S. Lake Park,Hispanic,Male,Moving Violation - Other,Driving while on a cell phone,,Verbal Warning,No
2239,6/13/2018 8:36 PM,5600 S. Hyde Park Blvd,African American,Male,Traffic sign/signal,Disobeyed traffic control device,,Verbal Warning,Yes
2240,6/13/2018 11:03 PM,5400 S. Woodalwn,African American,Male,Traffic sign/signal,Disobeyed Stop Sign,,Verbal Warning,No
